gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	B cells Memory	CAFs MSC iCAF-like s1	CAFs MSC iCAF-like s2	CAFs myCAF like s4	CAFs myCAF like s5	Cancer Basal SC_0	Cancer Basal SC_1	Cancer Basal SC_2	Cancer Cycling_0	Cancer Cycling_1	Cancer Cycling_2	Cancer Her2 SC_0	Cancer Her2 SC_1	Cancer Her2 SC_2	Cancer LumA SC_0	Cancer LumA SC_1	Cancer LumA SC_2	Cancer LumB SC_1	Cancer LumB SC_2	Cycling PVL	Cycling_Myeloid	Endothelial ACKR1	Endothelial CXCL12	Endothelial Lymphatic LYVE1	Endothelial RGS5	G0_arrested	Luminal Progenitors_0	Luminal Progenitors_1	Luminal Progenitors_2	Mature Luminal_0	Mature Luminal_1	Mature Luminal_2	Myeloid_c0_DC_LAMP3	Myeloid_c10_Macrophage_1_EGR1	Myeloid_c11_cDC2_CD1C	Myeloid_c12_Monocyte_1_IL1B	Myeloid_c1_LAM1_FABP5	Myeloid_c2_LAM2_APOE	Myeloid_c3_cDC1_CLEC9A	Myeloid_c4_DCs_pDC_IRF7	Myeloid_c5_Macrophage_3_SIGLEC1	Myeloid_c8_Monocyte_2_S100A9	Myeloid_c9_Macrophage_2_CXCL10	Myoepithelial_0	Myoepithelial_2	PVL Differentiated s3	PVL Immature s1	PVL_Immature s2	Plasmablasts	T_cells_c11_MKI67	T_cells_c2_CD4+_T-regs_FOXP3	T_cells_c5_CD8+_GZMK	T_cells_c6_IFIT1
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.0	0.002	0.0	0.143	0.008	0.0	0.001	0.004	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.005	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.005	0.005	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	0.012	0.027	0.0	0.0	0.067	0.0	0.008	0.008	0.0	0.022	0.003	0.143	0.122	0.321	0.0	0.194	0.2	0.043	0.308	0.0	0.0	0.019	0.038	0.0	0.05	0.106	0.038	0.029	0.067	0.0	0.149	0.0	0.042	0.06	0.091	0.0	0.049	0.033	0.0	0.024	0.0	0.333	0.033	0.072	0.167	0.04	0.0	0.038	0.022	0.0	0.0	0.012	0.193
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.262	0.263	1.0	1.0	0.352	0.667	0.588	0.664	0.308	0.674	0.585	0.429	0.713	0.768	0.0	0.532	1.0	0.59	0.769	0.231	0.571	0.244	0.333	0.381	0.425	0.571	0.562	0.3	0.6	0.333	0.405	0.0	0.5	0.31	0.273	0.2	0.345	0.424	0.667	0.238	0.333	0.333	0.495	0.36	0.5	0.25	0.4	0.5	0.367	0.8	0.333	0.277	0.465
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.262	0.263	1.0	1.0	0.352	0.667	0.588	0.664	0.308	0.674	0.585	0.429	0.713	0.768	0.0	0.532	1.0	0.59	0.769	0.231	0.571	0.244	0.333	0.381	0.425	0.571	0.562	0.3	0.6	0.333	0.405	0.0	0.5	0.31	0.273	0.2	0.345	0.424	0.667	0.238	0.333	0.333	0.495	0.36	0.5	0.25	0.4	0.5	0.367	0.8	0.333	0.277	0.465
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.262	0.263	1.0	1.0	0.352	0.667	0.588	0.664	0.308	0.674	0.585	0.429	0.713	0.768	0.0	0.532	1.0	0.59	0.769	0.231	0.571	0.244	0.333	0.381	0.425	0.571	0.562	0.3	0.6	0.333	0.405	0.0	0.5	0.31	0.273	0.2	0.345	0.424	0.667	0.238	0.333	0.333	0.495	0.36	0.5	0.25	0.4	0.5	0.367	0.8	0.333	0.277	0.465
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.262	0.263	1.0	1.0	0.352	0.667	0.588	0.664	0.308	0.674	0.585	0.429	0.713	0.768	0.0	0.532	1.0	0.59	0.769	0.231	0.571	0.244	0.333	0.381	0.425	0.571	0.562	0.3	0.6	0.333	0.405	0.0	0.5	0.31	0.273	0.2	0.345	0.424	0.667	0.238	0.333	0.333	0.495	0.36	0.5	0.25	0.4	0.5	0.367	0.8	0.333	0.277	0.465
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.112	0.167	0.0	0.429	0.205	0.139	0.19	0.195	0.077	0.287	0.143	0.429	0.617	0.872	0.0	0.279	1.0	0.23	0.077	0.077	0.286	0.133	0.167	0.095	0.229	0.283	0.181	0.271	0.267	0.0	0.311	0.0	0.333	0.381	0.091	0.0	0.397	0.139	0.333	0.071	0.0	0.667	0.187	0.33	0.333	0.14	0.0	0.212	0.095	0.6	0.0	0.123	0.526
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.112	0.167	0.0	0.429	0.205	0.139	0.19	0.195	0.077	0.287	0.143	0.429	0.617	0.872	0.0	0.279	1.0	0.23	0.077	0.077	0.286	0.133	0.167	0.095	0.229	0.283	0.181	0.271	0.267	0.0	0.311	0.0	0.333	0.381	0.091	0.0	0.397	0.139	0.333	0.071	0.0	0.667	0.187	0.33	0.333	0.14	0.0	0.212	0.095	0.6	0.0	0.123	0.526
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.038	0.073	0.0	0.286	0.115	0.0	0.05	0.065	0.0	0.107	0.033	0.143	0.42	0.639	0.0	0.075	0.6	0.109	0.154	0.077	0.286	0.037	0.053	0.0	0.103	0.131	0.062	0.071	0.267	0.0	0.135	0.0	0.208	0.19	0.091	0.2	0.26	0.049	0.0	0.024	0.0	0.333	0.093	0.095	0.0	0.07	0.0	0.231	0.047	0.0	0.333	0.045	0.281
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.038	0.073	0.0	0.286	0.115	0.0	0.05	0.065	0.0	0.107	0.033	0.143	0.42	0.639	0.0	0.075	0.6	0.109	0.154	0.077	0.286	0.037	0.053	0.0	0.103	0.131	0.062	0.071	0.267	0.0	0.135	0.0	0.208	0.19	0.091	0.2	0.26	0.049	0.0	0.024	0.0	0.333	0.093	0.095	0.0	0.07	0.0	0.231	0.047	0.0	0.333	0.045	0.281
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	DAGLA	0.038	0.073	0.0	0.286	0.115	0.0	0.05	0.065	0.0	0.107	0.033	0.143	0.42	0.639	0.0	0.075	0.6	0.109	0.154	0.077	0.286	0.037	0.053	0.0	0.103	0.131	0.062	0.071	0.267	0.0	0.135	0.0	0.208	0.19	0.091	0.2	0.26	0.049	0.0	0.024	0.0	0.333	0.093	0.095	0.0	0.07	0.0	0.231	0.047	0.0	0.333	0.045	0.281
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.262	0.145	0.0	0.857	0.251	0.0	0.272	0.259	0.103	0.208	0.177	0.214	0.33	0.333	0.0	0.225	0.6	0.296	0.154	0.077	0.0	0.185	0.129	0.238	0.203	0.247	0.152	0.1	0.6	0.0	0.297	0.0	0.208	0.262	0.273	0.4	0.276	0.269	0.333	0.238	0.5	0.0	0.264	0.145	0.5	0.12	0.4	0.423	0.172	0.2	0.0	0.182	0.377
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.262	0.145	0.0	0.857	0.251	0.0	0.272	0.259	0.103	0.208	0.177	0.214	0.33	0.333	0.0	0.225	0.6	0.296	0.154	0.077	0.0	0.185	0.129	0.238	0.203	0.247	0.152	0.1	0.6	0.0	0.297	0.0	0.208	0.262	0.273	0.4	0.276	0.269	0.333	0.238	0.5	0.0	0.264	0.145	0.5	0.12	0.4	0.423	0.172	0.2	0.0	0.182	0.377
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.262	0.145	0.0	0.857	0.251	0.0	0.272	0.259	0.103	0.208	0.177	0.214	0.33	0.333	0.0	0.225	0.6	0.296	0.154	0.077	0.0	0.185	0.129	0.238	0.203	0.247	0.152	0.1	0.6	0.0	0.297	0.0	0.208	0.262	0.273	0.4	0.276	0.269	0.333	0.238	0.5	0.0	0.264	0.145	0.5	0.12	0.4	0.423	0.172	0.2	0.0	0.182	0.377
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.088	0.069	0.0	0.0	0.038	0.0	0.009	0.005	0.0	0.006	0.007	0.0	0.027	0.089	0.0	0.01	0.2	0.016	0.0	0.0	0.0	0.019	0.008	0.048	0.027	0.024	0.01	0.014	0.0	0.0	0.014	0.0	0.042	0.25	0.182	0.0	0.235	0.065	0.333	0.0	0.0	0.333	0.06	0.011	0.167	0.0	0.0	0.0	0.025	0.0	0.0	0.037	0.114
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	ALOX5	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	LTC4S	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	LTC4S	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	LTC4S	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	LTC4S	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	LTC4S	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.112	0.149	0.0	0.286	0.155	0.083	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.285	0.0	0.33	0.0	0.231	0.143	0.167	0.205	0.143	0.113	0.207	0.071	0.186	0.067	0.0	0.203	0.0	0.0	0.25	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.24	0.0	0.25	0.114	0.2	0.0	0.122	0.132
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	LTC4S	0.112	0.149	0.0	0.286	0.155	0.083	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.285	0.0	0.33	0.0	0.231	0.143	0.167	0.205	0.143	0.113	0.207	0.071	0.186	0.067	0.0	0.203	0.0	0.0	0.25	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.24	0.0	0.25	0.114	0.2	0.0	0.122	0.132
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5AP	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5AP	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5AP	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	ALOX5AP	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5AP	0.112	0.149	0.0	0.286	0.155	0.056	0.067	0.095	0.0	0.079	0.065	0.143	0.069	0.076	0.0	0.156	0.0	0.173	0.0	0.077	0.143	0.167	0.136	0.143	0.113	0.207	0.071	0.143	0.0	0.0	0.203	0.0	0.0	0.131	0.0	0.4	0.165	0.241	0.0	0.095	0.0	0.0	0.148	0.161	0.0	0.14	0.0	0.25	0.114	0.2	0.0	0.122	0.132
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBA	0.05	0.067	0.0	0.286	0.129	0.361	0.084	0.053	0.154	0.236	0.095	0.143	0.351	0.563	0.0	0.317	0.4	0.208	0.0	0.0	0.286	0.127	0.106	0.0	0.203	0.282	0.329	0.029	0.333	0.0	0.135	0.0	0.125	0.095	0.182	0.0	0.131	0.053	0.0	0.0	0.0	0.0	0.082	0.217	0.167	0.06	0.0	0.135	0.051	0.2	0.0	0.039	0.254
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBA	0.05	0.067	0.0	0.286	0.129	0.361	0.084	0.053	0.154	0.236	0.095	0.143	0.351	0.563	0.0	0.317	0.4	0.208	0.0	0.0	0.286	0.127	0.106	0.0	0.203	0.282	0.329	0.029	0.333	0.0	0.135	0.0	0.125	0.095	0.182	0.0	0.131	0.053	0.0	0.0	0.0	0.0	0.082	0.217	0.167	0.06	0.0	0.135	0.051	0.2	0.0	0.039	0.254
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBA	0.05	0.067	0.0	0.286	0.129	0.361	0.084	0.053	0.154	0.236	0.095	0.143	0.351	0.563	0.0	0.317	0.4	0.208	0.0	0.0	0.286	0.127	0.106	0.0	0.203	0.282	0.329	0.029	0.333	0.0	0.135	0.0	0.125	0.095	0.182	0.0	0.131	0.053	0.0	0.0	0.0	0.0	0.082	0.217	0.167	0.06	0.0	0.135	0.051	0.2	0.0	0.039	0.254
