gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Bcell	CAF	CD4.T	EC	Exhausted_CD8_T_cell	Fast_cycling	Fib	G0_arrested	Mac	Mast	Peri	Plas.B	Slow_cycling	TAM	Treg	cDC	pDC
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	INHA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	INHA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	INHA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	INHA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	INHA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	INHA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	INHA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	INHA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	INHA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	INHA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	INHA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
CYP17A1	P05093	True	CP17A_HUMAN	Androstenedione_byCYP17A1	CPI-CS0D5502736	CYP17A1	0.001	0.005	0.0	0.002	0.001	0.002	0.002	0.0	0.0	0.0	0.002	0.001	0.001	0.0	0.0	0.001	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0010C54C6	ALDH1A1	0.004	0.074	0.002	0.041	0.0	0.033	0.504	0.007	0.098	1.214	0.018	0.002	0.012	0.623	0.002	0.059	0.002
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC048F01E8D	ALDH1A1	0.004	0.074	0.002	0.041	0.0	0.033	0.504	0.007	0.098	1.214	0.018	0.002	0.012	0.623	0.002	0.059	0.002
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC06F5021B7	ALDH1A1	0.004	0.074	0.002	0.041	0.0	0.033	0.504	0.007	0.098	1.214	0.018	0.002	0.012	0.623	0.002	0.059	0.002
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC036F9AC3C	ALDH1A1	0.004	0.074	0.002	0.041	0.0	0.033	0.504	0.007	0.098	1.214	0.018	0.002	0.012	0.623	0.002	0.059	0.002
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC065AB1F5E	ALDH1A1	0.004	0.074	0.002	0.041	0.0	0.033	0.504	0.007	0.098	1.214	0.018	0.002	0.012	0.623	0.002	0.059	0.002
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC01AF691C1	ALDH1A1	0.004	0.074	0.002	0.041	0.0	0.033	0.504	0.007	0.098	1.214	0.018	0.002	0.012	0.623	0.002	0.059	0.002
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A31C8D8B	ALDH1A1	0.004	0.074	0.002	0.041	0.0	0.033	0.504	0.007	0.098	1.214	0.018	0.002	0.012	0.623	0.002	0.059	0.002
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A06D2C2D	ALDH1A1	0.004	0.074	0.002	0.041	0.0	0.033	0.504	0.007	0.098	1.214	0.018	0.002	0.012	0.623	0.002	0.059	0.002
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0E829C954	ALDH1A1	0.004	0.074	0.002	0.041	0.0	0.033	0.504	0.007	0.098	1.214	0.018	0.002	0.012	0.623	0.002	0.059	0.002
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.004	0.074	0.002	0.041	0.0	0.033	0.504	0.007	0.098	1.214	0.018	0.002	0.012	0.623	0.002	0.059	0.002
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC0C61DFEC5	ALDH1A2	0.0	0.01	0.0	0.009	0.0	0.007	0.063	0.001	0.046	0.0	0.005	0.0	0.004	0.013	0.001	0.012	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC03C7C010D	ALDH1A2	0.0	0.01	0.0	0.009	0.0	0.007	0.063	0.001	0.046	0.0	0.005	0.0	0.004	0.013	0.001	0.012	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC021B19C0E	ALDH1A2	0.0	0.01	0.0	0.009	0.0	0.007	0.063	0.001	0.046	0.0	0.005	0.0	0.004	0.013	0.001	0.012	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC061CCD0A0	ALDH1A2	0.0	0.01	0.0	0.009	0.0	0.007	0.063	0.001	0.046	0.0	0.005	0.0	0.004	0.013	0.001	0.012	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC066507DFB	ALDH1A2	0.0	0.01	0.0	0.009	0.0	0.007	0.063	0.001	0.046	0.0	0.005	0.0	0.004	0.013	0.001	0.012	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC000118AA2	ALDH1A2	0.0	0.01	0.0	0.009	0.0	0.007	0.063	0.001	0.046	0.0	0.005	0.0	0.004	0.013	0.001	0.012	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC0B7C148C8	ALDH1A2	0.0	0.01	0.0	0.009	0.0	0.007	0.063	0.001	0.046	0.0	0.005	0.0	0.004	0.013	0.001	0.012	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC0974AE49B	ALDH1A2	0.0	0.01	0.0	0.009	0.0	0.007	0.063	0.001	0.046	0.0	0.005	0.0	0.004	0.013	0.001	0.012	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC071BF7D12	ALDH1A2	0.0	0.01	0.0	0.009	0.0	0.007	0.063	0.001	0.046	0.0	0.005	0.0	0.004	0.013	0.001	0.012	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.0	0.01	0.0	0.009	0.0	0.007	0.063	0.001	0.046	0.0	0.005	0.0	0.004	0.013	0.001	0.012	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC03F7FB36A	ALDH1A3	0.007	0.178	0.005	0.031	0.0	0.149	0.387	0.15	0.009	0.0	0.038	0.008	0.098	0.003	0.001	0.004	0.002
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0564402E8	ALDH1A3	0.007	0.178	0.005	0.031	0.0	0.149	0.387	0.15	0.009	0.0	0.038	0.008	0.098	0.003	0.001	0.004	0.002
