id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	Bcell|Bcell	Bcell|CAF	Bcell|CD4.T	Bcell|EC	Bcell|Exhausted_CD8_T_cell	Bcell|Fast_cycling	Bcell|Fib	Bcell|G0_arrested	Bcell|Mac	Bcell|Mast	Bcell|Peri	Bcell|Plas.B	Bcell|Slow_cycling	Bcell|TAM	Bcell|Treg	Bcell|cDC	Bcell|pDC	CAF|Bcell	CAF|CAF	CAF|CD4.T	CAF|EC	CAF|Exhausted_CD8_T_cell	CAF|Fast_cycling	CAF|Fib	CAF|G0_arrested	CAF|Mac	CAF|Mast	CAF|Peri	CAF|Plas.B	CAF|Slow_cycling	CAF|TAM	CAF|Treg	CAF|cDC	CAF|pDC	CD4.T|Bcell	CD4.T|CAF	CD4.T|CD4.T	CD4.T|EC	CD4.T|Exhausted_CD8_T_cell	CD4.T|Fast_cycling	CD4.T|Fib	CD4.T|G0_arrested	CD4.T|Mac	CD4.T|Mast	CD4.T|Peri	CD4.T|Plas.B	CD4.T|Slow_cycling	CD4.T|TAM	CD4.T|Treg	CD4.T|cDC	CD4.T|pDC	EC|Bcell	EC|CAF	EC|CD4.T	EC|EC	EC|Exhausted_CD8_T_cell	EC|Fast_cycling	EC|Fib	EC|G0_arrested	EC|Mac	EC|Mast	EC|Peri	EC|Plas.B	EC|Slow_cycling	EC|TAM	EC|Treg	EC|cDC	EC|pDC	Exhausted_CD8_T_cell|Bcell	Exhausted_CD8_T_cell|CAF	Exhausted_CD8_T_cell|CD4.T	Exhausted_CD8_T_cell|EC	Exhausted_CD8_T_cell|Exhausted_CD8_T_cell	Exhausted_CD8_T_cell|Fast_cycling	Exhausted_CD8_T_cell|Fib	Exhausted_CD8_T_cell|G0_arrested	Exhausted_CD8_T_cell|Mac	Exhausted_CD8_T_cell|Mast	Exhausted_CD8_T_cell|Peri	Exhausted_CD8_T_cell|Plas.B	Exhausted_CD8_T_cell|Slow_cycling	Exhausted_CD8_T_cell|TAM	Exhausted_CD8_T_cell|Treg	Exhausted_CD8_T_cell|cDC	Exhausted_CD8_T_cell|pDC	Fast_cycling|Bcell	Fast_cycling|CAF	Fast_cycling|CD4.T	Fast_cycling|EC	Fast_cycling|Exhausted_CD8_T_cell	Fast_cycling|Fast_cycling	Fast_cycling|Fib	Fast_cycling|G0_arrested	Fast_cycling|Mac	Fast_cycling|Mast	Fast_cycling|Peri	Fast_cycling|Plas.B	Fast_cycling|Slow_cycling	Fast_cycling|TAM	Fast_cycling|Treg	Fast_cycling|cDC	Fast_cycling|pDC	Fib|Bcell	Fib|CAF	Fib|CD4.T	Fib|EC	Fib|Exhausted_CD8_T_cell	Fib|Fast_cycling	Fib|Fib	Fib|G0_arrested	Fib|Mac	Fib|Mast	Fib|Peri	Fib|Plas.B	Fib|Slow_cycling	Fib|TAM	Fib|Treg	Fib|cDC	Fib|pDC	G0_arrested|Bcell	G0_arrested|CAF	G0_arrested|CD4.T	G0_arrested|EC	G0_arrested|Exhausted_CD8_T_cell	G0_arrested|Fast_cycling	G0_arrested|Fib	G0_arrested|G0_arrested	G0_arrested|Mac	G0_arrested|Mast	G0_arrested|Peri	G0_arrested|Plas.B	G0_arrested|Slow_cycling	G0_arrested|TAM	G0_arrested|Treg	G0_arrested|cDC	G0_arrested|pDC	Mac|Bcell	Mac|CAF	Mac|CD4.T	Mac|EC	Mac|Exhausted_CD8_T_cell	Mac|Fast_cycling	Mac|Fib	Mac|G0_arrested	Mac|Mac	Mac|Mast	Mac|Peri	Mac|Plas.B	Mac|Slow_cycling	Mac|TAM	Mac|Treg	Mac|cDC	Mac|pDC	Mast|Bcell	Mast|CAF	Mast|CD4.T	Mast|EC	Mast|Exhausted_CD8_T_cell	Mast|Fast_cycling	Mast|Fib	Mast|G0_arrested	Mast|Mac	Mast|Mast	Mast|Peri	Mast|Plas.B	Mast|Slow_cycling	Mast|TAM	Mast|Treg	Mast|cDC	Mast|pDC	Peri|Bcell	Peri|CAF	Peri|CD4.T	Peri|EC	Peri|Exhausted_CD8_T_cell	Peri|Fast_cycling	Peri|Fib	Peri|G0_arrested	Peri|Mac	Peri|Mast	Peri|Peri	Peri|Plas.B	Peri|Slow_cycling	Peri|TAM	Peri|Treg	Peri|cDC	Peri|pDC	Plas.B|Bcell	Plas.B|CAF	Plas.B|CD4.T	Plas.B|EC	Plas.B|Exhausted_CD8_T_cell	Plas.B|Fast_cycling	Plas.B|Fib	Plas.B|G0_arrested	Plas.B|Mac	Plas.B|Mast	Plas.B|Peri	Plas.B|Plas.B	Plas.B|Slow_cycling	Plas.B|TAM	Plas.B|Treg	Plas.B|cDC	Plas.B|pDC	Slow_cycling|Bcell	Slow_cycling|CAF	Slow_cycling|CD4.T	Slow_cycling|EC	Slow_cycling|Exhausted_CD8_T_cell	Slow_cycling|Fast_cycling	Slow_cycling|Fib	Slow_cycling|G0_arrested	Slow_cycling|Mac	Slow_cycling|Mast	Slow_cycling|Peri	Slow_cycling|Plas.B	Slow_cycling|Slow_cycling	Slow_cycling|TAM	Slow_cycling|Treg	Slow_cycling|cDC	Slow_cycling|pDC	TAM|Bcell	TAM|CAF	TAM|CD4.T	TAM|EC	TAM|Exhausted_CD8_T_cell	TAM|Fast_cycling	TAM|Fib	TAM|G0_arrested	TAM|Mac	TAM|Mast	TAM|Peri	TAM|Plas.B	TAM|Slow_cycling	TAM|TAM	TAM|Treg	TAM|cDC	TAM|pDC	Treg|Bcell	Treg|CAF	Treg|CD4.T	Treg|EC	Treg|Exhausted_CD8_T_cell	Treg|Fast_cycling	Treg|Fib	Treg|G0_arrested	Treg|Mac	Treg|Mast	Treg|Peri	Treg|Plas.B	Treg|Slow_cycling	Treg|TAM	Treg|Treg	Treg|cDC	Treg|pDC	cDC|Bcell	cDC|CAF	cDC|CD4.T	cDC|EC	cDC|Exhausted_CD8_T_cell	cDC|Fast_cycling	cDC|Fib	cDC|G0_arrested	cDC|Mac	cDC|Mast	cDC|Peri	cDC|Plas.B	cDC|Slow_cycling	cDC|TAM	cDC|Treg	cDC|cDC	cDC|pDC	pDC|Bcell	pDC|CAF	pDC|CD4.T	pDC|EC	pDC|Exhausted_CD8_T_cell	pDC|Fast_cycling	pDC|Fib	pDC|G0_arrested	pDC|Mac	pDC|Mast	pDC|Peri	pDC|Plas.B	pDC|Slow_cycling	pDC|TAM	pDC|Treg	pDC|cDC	pDC|pDC
CPI-SS06D2944B5	COL4A4_ADGRG6	simple:P53420	simple:Q86SQ4	COL4A4	ADGRG6	True	False	True	curated	False	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.003																																																																																																												0.213																																																																																																																																																																																					
CPI-SS0335C4DDE	LAMA2_ADGRG6	simple:P24043	simple:Q86SQ4	LAMA2	ADGRG6	True	False	True	curated	False	Ligand-Receptor		0.003																																																																																																												0.32																																																																																																																																																																																					
CPI-SS0DE9B07A8	ANGPT1_TEK	simple:Q15389	simple:Q02763	ANGPT1	TEK	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiopoietin	0.003																																																																																																																																																																														0.454																																																																																																																			
CPI-SS0D883FFF1	VEGFD_FLT4	simple:O43915	simple:P35916	VEGFD	FLT4	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.003																																																																																																										0.266																																																																																																																																																																																							
CPI-SS052127A00	NGF_NTRK1	simple:P01138	simple:P04629	NGF	NTRK1	True	False	True	curated	False	Ligand-Receptor	Signaling by Beta-nerve growth factor	0.003																																																																																																																																																																																				0.352																																																																																																													
CPI-SS0EBA5A4D8	VEGFD_KDR	simple:O43915	simple:P35968	VEGFD	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.003																																																																																																										0.855																																																																																																																																																																																							
CPI-SS0EDD4928A	NGF_NGFR	simple:P01138	simple:P08138	NGF	NGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Beta-nerve growth factor	0.003																																																																																																																																																																																	0.159																																																																																																																
CPI-SS0EC8C81E0	VEGFC_KDR	simple:P49767	simple:P35968	VEGFC	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.003																																																							0.998																																																																																																																																																																																																																																										
CPI-SC0B09B811A	COL24A1_integrin_a11b1_complex	simple:Q17RW2	complex:integrin_a11b1_complex	COL24A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.007																																																																																																																																																																																																																																																																																		0.381					0.134										
CPI-SS081A36E07	CD80_NGFR	simple:P33681	simple:P08138	CD80	NGFR	False	True	True	curated	False	Ligand-Receptor		0.007																																																																																																																																																																																																																																				0.167																																		0.175																											
CPI-SC0FAC9844A	COL4A4_integrin_a11b1_complex	simple:P53420	complex:integrin_a11b1_complex	COL4A4		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.007																																																																																																								0.437					0.19																																																																																																																																																																																				
CPI-SS0D7DB794A	CD274_CD80	simple:Q9NZQ7	simple:P33681	CD274	CD80	False	True	True	curated	False	Ligand-Receptor		0.007																																																																																																																																																																																																																																											0.166		0.174																																																				
CPI-SS0B111D2F5	PODXL2_SELE	simple:Q9NZ53	simple:P16581	PODXL2	SELE	False	False	False	curated	False	Ligand-Receptor	Signaling by Podocalyxin-like protein	0.007																																																																																									0.896																																																																																																																							0.786																																																																																	
CPI-SS0BDC04683	CEACAM1_SELE	simple:P13688	simple:P16581	CEACAM1	SELE	True	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.007																																																																																									0.731																																																																																																																							0.684																																																																																	
CPI-SC063D5B0A1	BMP7_ACVR_1A2A_receptor	simple:P18075	complex:ACVR_1A2A_receptor	BMP7		True	False	True	curated	False	Ligand-Receptor	Signaling by BMP	0.007																																																																																							0.162					0.184																																																																																																																																																																																																					
CPI-SS0CB25BBAE	SCT_VIPR2	simple:P09683	simple:P41587	SCT	VIPR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Secretin	0.007																																		0.24																																																																																																																																																																																																																																																															0.858
CPI-SS03C7D1520	EFNB1_EPHB1	simple:P98172	simple:P54762	EFNB1	EPHB1	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.007																																																																				0.319																																		0.195																																																																																																																																																																																											
CPI-SS0E928B8C8	FGF7_FGFR2	simple:P21781	simple:P21802	FGF7	FGFR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.007																							0.465																																																																																					1.379																																																																																																																																																																																					
CPI-CS07905F8F4	Adenosine_byNT5E_and_SLC29A1_ADORA3	complex:Adenosine_byNT5E_and_SLC29A1	simple:P0DMS8		ADORA3	True	False	True	curated	False	Ligand-Receptor	Signaling by Adenosine	0.007																																																																	0.241																																																			0.224																																																																																																																																																																													
CPI-SS0D97E07F8	FLT3LG_FLT3	simple:P49771	simple:P36888	FLT3LG	FLT3	True	False	True	curated	False	Ligand-Receptor		0.007																																																			0.163																																																																																																																							0.124																																																																																																																							
CPI-SS0FB5FE587	DLL1_NOTCH4	simple:O00548	simple:Q99466	DLL1	NOTCH4	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.007																																																							0.852													0.244																																																																																																																																																																																																																													
CPI-CS030959ED1	2arachidonoylglycerol_byDAGLB_CNR2	complex:2arachidonoylglycerol_byDAGLB	simple:P34972		CNR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Arachidonoylglycerol	0.007																																																																																																																																																																																																																														0.145																																		0.152																																	
CPI-SS083B5EBAB	CXCL13_ACKR4	simple:O43927	simple:Q9NPB9	CXCL13	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.007																																																																											1.085																																																																																																																																																																										4.493																																												
CPI-SS0BAB460FF	ANGPT2_TEK	simple:O15123	simple:Q02763	ANGPT2	TEK	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiopoietin	0.007																																																							0.742																																																																																																																							0.898																																																																																																																			
CPI-SS039266778	PODXL2_SELP	simple:Q9NZ53	simple:P16109	PODXL2	SELP	False	False	False	curated	False	Ligand-Receptor	Signaling by Podocalyxin-like protein	0.007																																																																																									0.607																																																																																																																							0.496																																																																																	
CPI-SS013E6EBC3	CD34_SELP	simple:P28906	simple:P16109	CD34	SELP	False	False	False	curated	False	Ligand-Receptor		0.007																																																							1.746																																																			0.539																																																																																																																																																																																							
CPI-SS0E7883ADC	GJC1_GJA5	simple:P36383	simple:P36382	GJC1	GJA5	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.007																																																							0.42																																																																																																																							0.695																																																																																																																			
CPI-SC037038602	COL7A1_integrin_a11b1_complex	simple:Q02388	complex:integrin_a11b1_complex	COL7A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.007																			0.407					0.159																																																																																																																																																																																																																																																																									
CPI-SS0F6F1C29E	CCL8_ACKR2	simple:P80075	simple:O00590	CCL8	ACKR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.007																																																																																																																																														0.635																																																																																					0.715																																																														
CPI-SS08DF7B12C	PDCD1LG2_PDCD1	simple:Q9BQ51	simple:Q15116	PDCD1LG2	PDCD1	True	True	True	curated	False	Ligand-Receptor		0.007																																																																																																																																																																								0.268																																																																				0.269																																																					
CPI-SC01D3E6936	WNT6_FZD3_LRP5	simple:Q9Y6F9	complex:FZD3_LRP5	WNT6		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.007																																																																																											0.165							0.133																																																																																																																																																																																															
CPI-SS062DED513	ADCYAP1_VIPR1	simple:P18509	simple:P32241	ADCYAP1	VIPR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Pituitary adenylate	0.007																																																																																																																																																															0.323							0.336																																																																																																																											
CPI-SC056F2D04E	WNT6_FZD4_LRP5	simple:Q9Y6F9	complex:FZD4_LRP5	WNT6		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.007																																																																																											0.189							0.133																																																																																																																																																																																															
